priority_rank,review_status,source_label,listing_id,address,area,subarea,latitude,longitude,coordinate_confidence,best_overhead_candidate,contact_sheet,aerial_tile_count,image_quality_score_auto,center_tile_bytes,center_tile_brightness,center_tile_contrast,backyard_visibility,overhead_quality,hot_tub_visible,mls_photo_count,source_risk,notes,aerial_placeholder_tiles,aerial_real_tiles
96,blocked_no_aerial_imagery,Columbia Valley,10623245,5160 RIVERSIDE Drive,Kootenay,INRU - Fairmont/Columbia Lake,50.32604189,-115.86950191,point_geocode,data\aerial\columbia_valley\5160-riverside-drive-10623245\esri_world_imagery_z19\z19_x93396_y177068.jpg,data\contact_sheets\columbia_valley\5160-riverside-drive-10623245\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,17,research_only_verify_license,"Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Coordinate fallback applied: 5160 Riverside Dr, Fairmont Hot Springs, British Columbia, V0B 1L1 (arcgis_world_geocoder_manual_variant); recollected ArcGIS z19 tiles. Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.",9,0
97,blocked_no_aerial_imagery,Columbia Valley,20061096,5221 Columbia River Road,Kootenay,INRU - Fairmont/Columbia Lake,50.32434756,-115.8583252,listing,data\aerial\columbia_valley\5221-columbia-river-road-20061096\esri_world_imagery_z19\z19_x93413_y177072.jpg,data\contact_sheets\columbia_valley\5221-columbia-river-road-20061096\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,55,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
98,blocked_no_aerial_imagery,Columbia Valley,10660875,5938 COLUMBIA LAKE Road,Kootenay,INRU - Fairmont/Columbia Lake,50.286178,-115.886022,listing,data\aerial\columbia_valley\5938-columbia-lake-road-10660875\esri_world_imagery_z19\z19_x93372_y177159.jpg,data\contact_sheets\columbia_valley\5938-columbia-lake-road-10660875\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,40,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
99,blocked_no_aerial_imagery,Columbia Valley,10672919,6894 COLUMBIA RIDGE Drive,Kootenay,INRU - Fairmont/Columbia Lake,50.23924262,-115.87327167,listing,data\aerial\columbia_valley\6894-columbia-ridge-drive-10672919\esri_world_imagery_z19\z19_x93391_y177266.jpg,data\contact_sheets\columbia_valley\6894-columbia-ridge-drive-10672919\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,56,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
100,blocked_no_aerial_imagery,Columbia Valley,10672747,6925 COLUMBIA RIDGE Drive,Kootenay,INRU - Fairmont/Columbia Lake,50.23822824,-115.87131318,listing,data\aerial\columbia_valley\6925-columbia-ridge-drive-10672747\esri_world_imagery_z19\z19_x93394_y177268.jpg,data\contact_sheets\columbia_valley\6925-columbia-ridge-drive-10672747\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,51,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
101,blocked_no_aerial_imagery,Columbia Valley,10675110,6948 COLUMBIA RIDGE Drive,Kootenay,INRU - Fairmont/Columbia Lake,50.23947657,-115.87113053,listing,data\aerial\columbia_valley\6948-columbia-ridge-drive-10675110\esri_world_imagery_z19\z19_x93394_y177265.jpg,data\contact_sheets\columbia_valley\6948-columbia-ridge-drive-10675110\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,26,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
102,blocked_no_aerial_imagery,Columbia Valley,10647683,6949 COLUMBIA RIDGE Drive,Kootenay,INRU - Fairmont/Columbia Lake,50.239283,-115.870556,listing,data\aerial\columbia_valley\6949-columbia-ridge-drive-10647683\esri_world_imagery_z19\z19_x93395_y177266.jpg,data\contact_sheets\columbia_valley\6949-columbia-ridge-drive-10647683\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,40,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
103,blocked_no_aerial_imagery,Columbia Valley,20057362,7-640 UPPER LAKEVIEW Road,Kootenay,INRU - Windermere,50.50485565,-116.00868646,listing,data\aerial\columbia_valley\7-640-upper-lakeview-road-20057362\esri_world_imagery_z19\z19_x93194_y176659.jpg,data\contact_sheets\columbia_valley\7-640-upper-lakeview-road-20057362\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,49,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
104,blocked_no_aerial_imagery,Columbia Valley,10669795,7043 ELK RIDGE Road,Kootenay,RA - Radium Hot Springs,50.64221689,-116.07837293,listing,data\aerial\columbia_valley\7043-elk-ridge-road-10669795\esri_world_imagery_z19\z19_x93092_y176344.jpg,data\contact_sheets\columbia_valley\7043-elk-ridge-road-10669795\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,53,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
105,blocked_no_aerial_imagery,Columbia Valley,10662424,7503 SUN VALLEY Place,Kootenay,RA - Radium Hot Springs,50.619464,-116.086718,listing,data\aerial\columbia_valley\7503-sun-valley-place-10662424\esri_world_imagery_z19\z19_x93080_y176396.jpg,data\contact_sheets\columbia_valley\7503-sun-valley-place-10662424\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,40,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
106,blocked_no_aerial_imagery,Columbia Valley,10638399,7549 SPRINGS Terrace,Kootenay,RA - Radium Hot Springs,50.614888,-116.084512,listing,data\aerial\columbia_valley\7549-springs-terrace-10638399\esri_world_imagery_z19\z19_x93083_y176407.jpg,data\contact_sheets\columbia_valley\7549-springs-terrace-10638399\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,35,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
107,blocked_no_aerial_imagery,Columbia Valley,20021336,781 WESTRIDGE Drive,Kootenay,IN - Invermere,50.49976286,-116.04651437,listing,data\aerial\columbia_valley\781-westridge-drive-20021336\esri_world_imagery_z19\z19_x93139_y176671.jpg,data\contact_sheets\columbia_valley\781-westridge-drive-20021336\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,42,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
108,blocked_no_aerial_imagery,Columbia Valley,10645721,799 LAKEVIEW MEADOWS Point,Kootenay,INRU - Invermere Rural,50.500567,-116.006327,listing,data\aerial\columbia_valley\799-lakeview-meadows-point-10645721\esri_world_imagery_z19\z19_x93197_y176669.jpg,data\contact_sheets\columbia_valley\799-lakeview-meadows-point-10645721\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,38,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
109,blocked_no_aerial_imagery,Columbia Valley,10670913,8042 MCINTOSH LOOP Road,Kootenay,RA - Radium Hot Springs,50.6030282,-116.04715436,listing,data\aerial\columbia_valley\8042-mcintosh-loop-road-10670913\esri_world_imagery_z19\z19_x93138_y176434.jpg,data\contact_sheets\columbia_valley\8042-mcintosh-loop-road-10670913\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,41,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
110,blocked_no_aerial_imagery,Columbia Valley,10646987,815 LAKEVIEW MEADOWS GREEN,Kootenay,INRU - Windermere,50.500176,-116.005565,listing,data\aerial\columbia_valley\815-lakeview-meadows-green-10646987\esri_world_imagery_z19\z19_x93198_y176670.jpg,data\contact_sheets\columbia_valley\815-lakeview-meadows-green-10646987\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,33,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
111,blocked_no_aerial_imagery,Columbia Valley,10665254,815 LAKEVIEW MEADOWS GREEN,Kootenay,INRU - Windermere,50.50012562,-116.00516735,listing,data\aerial\columbia_valley\815-lakeview-meadows-green-10665254\esri_world_imagery_z19\z19_x93199_y176670.jpg,data\contact_sheets\columbia_valley\815-lakeview-meadows-green-10665254\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,4,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
112,blocked_no_aerial_imagery,Columbia Valley,10639146,823 LAKEVIEW MEADOWS GREEN,Kootenay,INRU - Windermere,50.499785,-116.005728,listing,data\aerial\columbia_valley\823-lakeview-meadows-green-10639146\esri_world_imagery_z19\z19_x93198_y176671.jpg,data\contact_sheets\columbia_valley\823-lakeview-meadows-green-10639146\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,40,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
113,blocked_no_aerial_imagery,Columbia Valley,10673624,8414 RICHARDSON Crescent,Kootenay,CF - Canal Flats,50.18044907,-115.81759103,listing,data\aerial\columbia_valley\8414-richardson-crescent-10673624\esri_world_imagery_z19\z19_x93472_y177399.jpg,data\contact_sheets\columbia_valley\8414-richardson-crescent-10673624\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,52,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
114,blocked_no_aerial_imagery,Columbia Valley,10654610,850 LAKEVIEW MEADOWS Road,Kootenay,INRU - Windermere,50.498402,-116.00191,listing,data\aerial\columbia_valley\850-lakeview-meadows-road-10654610\esri_world_imagery_z19\z19_x93203_y176674.jpg,data\contact_sheets\columbia_valley\850-lakeview-meadows-road-10654610\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,40,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
115,blocked_no_aerial_imagery,Columbia Valley,10588693,885 COPPERVIEW Close,Kootenay,INRU - Windermere,50.49996270,-115.99623070,street_geocode,data\aerial\columbia_valley\885-copperview-close-10588693\esri_world_imagery_z19\z19_x93212_y176670.jpg,data\contact_sheets\columbia_valley\885-copperview-close-10588693\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,3,research_only_verify_license,"Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Coordinate fallback applied: Copperview Close, Area F, East Kootenay, BC (nominatim); recollected ArcGIS z19 tiles. Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.",9,0
116,blocked_no_aerial_imagery,Columbia Valley,10684558,890 COPPERPOINT Way,Kootenay,INRU - Windermere,50.50176414,-115.99098603,listing,data\aerial\columbia_valley\890-copperpoint-way-10684558\esri_world_imagery_z19\z19_x93219_y176666.jpg,data\contact_sheets\columbia_valley\890-copperpoint-way-10684558\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,46,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
117,blocked_no_aerial_imagery,Columbia Valley,20087320,896 Copper Point Way,Kootenay,INRU - Windermere,50.50112954,-115.99034023,listing,data\aerial\columbia_valley\896-copper-point-way-20087320\esri_world_imagery_z19\z19_x93220_y176668.jpg,data\contact_sheets\columbia_valley\896-copper-point-way-20087320\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,34,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
118,blocked_no_aerial_imagery,Columbia Valley,20040895,930 COPPER POINT Way,Kootenay,INRU - Windermere,50.49961073,-115.98807824,listing,data\aerial\columbia_valley\930-copper-point-way-20040895\esri_world_imagery_z19\z19_x93224_y176671.jpg,data\contact_sheets\columbia_valley\930-copper-point-way-20040895\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,84,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
119,blocked_no_aerial_imagery,Columbia Valley,10665224,946 RIDGE Place,Kootenay,INRU - Windermere,50.49380051,-116.00664354,listing,data\aerial\columbia_valley\946-ridge-place-10665224\esri_world_imagery_z19\z19_x93197_y176684.jpg,data\contact_sheets\columbia_valley\946-ridge-place-10665224\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,49,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
120,blocked_no_aerial_imagery,Columbia Valley,10683812,958 COPPER POINT Way,Kootenay,INRU - Windermere,50.49811449,-115.98869562,listing,data\aerial\columbia_valley\958-copper-point-way-10683812\esri_world_imagery_z19\z19_x93223_y176675.jpg,data\contact_sheets\columbia_valley\958-copper-point-way-10683812\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,46,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
121,blocked_no_aerial_imagery,Columbia Valley,20050440,959 COPPER POINT Way,Kootenay,INRU - Windermere,50.49818922,-115.98868883,listing,data\aerial\columbia_valley\959-copper-point-way-20050440\esri_world_imagery_z19\z19_x93223_y176674.jpg,data\contact_sheets\columbia_valley\959-copper-point-way-20050440\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,55,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
122,blocked_no_aerial_imagery,Columbia Valley,20038863,960 COPPER POINT Way,Kootenay,INRU - Invermere Rural,50.4991245,-115.98763114,listing,data\aerial\columbia_valley\960-copper-point-way-20038863\esri_world_imagery_z19\z19_x93224_y176672.jpg,data\contact_sheets\columbia_valley\960-copper-point-way-20038863\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,61,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
123,blocked_no_aerial_imagery,Columbia Valley,10685328,961 COPPER POINT Way,Kootenay,INRU - Windermere,50.49820212,-115.98885503,listing,data\aerial\columbia_valley\961-copper-point-way-10685328\esri_world_imagery_z19\z19_x93222_y176674.jpg,data\contact_sheets\columbia_valley\961-copper-point-way-10685328\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,48,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
124,blocked_no_aerial_imagery,Columbia Valley,10613313,964 LAKEVIEW MEADOWS GLEN,Kootenay,INRU - Windermere,50.49839430,-115.99778400,street_geocode,data\aerial\columbia_valley\964-lakeview-meadows-glen-10613313\esri_world_imagery_z19\z19_x93209_y176674.jpg,data\contact_sheets\columbia_valley\964-lakeview-meadows-glen-10613313\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,10,research_only_verify_license,"Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Coordinate fallback applied: Lakeview Meadows Glen, Area F, East Kootenay, BC (nominatim); recollected ArcGIS z19 tiles. Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.",9,0
125,blocked_no_aerial_imagery,Columbia Valley,20071157,974 SWANSEA VIEW Road,Kootenay,INRU - Windermere,50.49607569,-115.98754321,listing,data\aerial\columbia_valley\974-swansea-view-road-20071157\esri_world_imagery_z19\z19_x93224_y176679.jpg,data\contact_sheets\columbia_valley\974-swansea-view-road-20071157\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,52,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
126,blocked_no_aerial_imagery,Columbia Valley,10664190,9982 WILDWOOD Lane,Kootenay,INRU - Panorama,50.44348346,-116.25199345,listing,data\aerial\columbia_valley\9982-wildwood-lane-10664190\esri_world_imagery_z19\z19_x92839_y176800.jpg,data\contact_sheets\columbia_valley\9982-wildwood-lane-10664190\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,48,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
127,blocked_no_aerial_imagery,Cranbrook/Kimberley,10606465,#37-6674 WARDNER-KIKOMUN Road,Kootenay,CRANL Ft. Steele to Wardner,49.40501699,-115.41910697,subaddress_geocode,data\aerial\cranbrook_kimberley\37-6674-wardner-kikomun-road-10606465\esri_world_imagery_z19\z19_x94052_y179149.jpg,data\contact_sheets\cranbrook_kimberley\37-6674-wardner-kikomun-road-10606465\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,10,research_only_verify_license,"Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Coordinate fallback applied: 6674 Wardner Kikomun Rd, #37, Wardner, British Columbia, V0B 2J0 (arcgis_world_geocoder_manual_variant); recollected ArcGIS z19 tiles. Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.",9,0
128,blocked_no_aerial_imagery,Cranbrook/Kimberley,10673089,112 FOREST CROWNE Crescent,Kootenay,KI - Kimberley,49.64230669,-115.97194226,listing,data\aerial\cranbrook_kimberley\112-forest-crowne-crescent-10673089\esri_world_imagery_z19\z19_x93247_y178616.jpg,data\contact_sheets\cranbrook_kimberley\112-forest-crowne-crescent-10673089\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,59,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
129,blocked_no_aerial_imagery,Cranbrook/Kimberley,10685535,112 PURCELL Place,Kootenay,CRAN - Cranbrook North,49.57825263,-115.79762505,listing,data\aerial\cranbrook_kimberley\112-purcell-place-10685535\esri_world_imagery_z19\z19_x93501_y178760.jpg,data\contact_sheets\cranbrook_kimberley\112-purcell-place-10685535\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,29,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
130,blocked_no_aerial_imagery,Cranbrook/Kimberley,10674183,1274 23RD S Street,Kootenay,CRAN - Cranbrook South,49.48601441,-115.76195673,listing,data\aerial\cranbrook_kimberley\1274-23rd-s-street-10674183\esri_world_imagery_z19\z19_x93553_y178967.jpg,data\contact_sheets\cranbrook_kimberley\1274-23rd-s-street-10674183\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,48,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
131,blocked_no_aerial_imagery,Cranbrook/Kimberley,20027125,1282 23RD S Street,Kootenay,CRAN - Cranbrook South,49.48604974,-115.76139922,listing,data\aerial\cranbrook_kimberley\1282-23rd-s-street-20027125\esri_world_imagery_z19\z19_x93554_y178967.jpg,data\contact_sheets\cranbrook_kimberley\1282-23rd-s-street-20027125\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,46,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
132,blocked_no_aerial_imagery,Cranbrook/Kimberley,10667018,129 STEMWINDER Drive,Kootenay,KI - Alpine Resort Area,49.68735038,-115.99989944,listing,data\aerial\cranbrook_kimberley\129-stemwinder-drive-10667018\esri_world_imagery_z19\z19_x93206_y178515.jpg,data\contact_sheets\cranbrook_kimberley\129-stemwinder-drive-10667018\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,25,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
133,blocked_no_aerial_imagery,Cranbrook/Kimberley,10612922,1357 SOUTHVIEW Drive,Kootenay,CRAN - Cranbrook South,49.487694,-115.761899,listing,data\aerial\cranbrook_kimberley\1357-southview-drive-10612922\esri_world_imagery_z19\z19_x93553_y178964.jpg,data\contact_sheets\cranbrook_kimberley\1357-southview-drive-10612922\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,10,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
134,blocked_no_aerial_imagery,Cranbrook/Kimberley,20079642,140 River Drive,Kootenay,CRAN - Cranbrook North,49.5812283,-115.80134044,listing,data\aerial\cranbrook_kimberley\140-river-drive-20079642\esri_world_imagery_z19\z19_x93496_y178754.jpg,data\contact_sheets\cranbrook_kimberley\140-river-drive-20079642\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,32,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
135,blocked_no_aerial_imagery,Cranbrook/Kimberley,10683127,1400 17TH S Street,Kootenay,CRAN - Cranbrook South,49.49269412,-115.75947705,listing,data\aerial\cranbrook_kimberley\1400-17th-s-street-10683127\esri_world_imagery_z19\z19_x93557_y178952.jpg,data\contact_sheets\cranbrook_kimberley\1400-17th-s-street-10683127\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,58,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
136,blocked_no_aerial_imagery,Cranbrook/Kimberley,10654223,145 STEMWINDER Drive,Kootenay,KI - Alpine Resort Area,49.687945,-116.000014,listing,data\aerial\cranbrook_kimberley\145-stemwinder-drive-10654223\esri_world_imagery_z19\z19_x93206_y178514.jpg,data\contact_sheets\cranbrook_kimberley\145-stemwinder-drive-10654223\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,37,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
137,blocked_no_aerial_imagery,Cranbrook/Kimberley,10667357,1464 SOUTHVIEW Drive,Kootenay,CRAN - Cranbrook South,49.48788709,-115.75784478,listing,data\aerial\cranbrook_kimberley\1464-southview-drive-10667357\esri_world_imagery_z19\z19_x93559_y178963.jpg,data\contact_sheets\cranbrook_kimberley\1464-southview-drive-10667357\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,31,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
138,blocked_no_aerial_imagery,Cranbrook/Kimberley,20021290,147 THE WHINS,Kootenay,CRAN - Northwest Cranbrook,49.5389958,-115.76223281,listing,data\aerial\cranbrook_kimberley\147-the-whins-20021290\esri_world_imagery_z19\z19_x93553_y178849.jpg,data\contact_sheets\cranbrook_kimberley\147-the-whins-20021290\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,29,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
139,blocked_no_aerial_imagery,Cranbrook/Kimberley,20083862,15 Turner Close,Kootenay,KI - Marysville,49.63407721,-115.95756155,listing,data\aerial\cranbrook_kimberley\15-turner-close-20083862\esri_world_imagery_z19\z19_x93268_y178635.jpg,data\contact_sheets\cranbrook_kimberley\15-turner-close-20083862\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,23,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
140,blocked_no_aerial_imagery,Cranbrook/Kimberley,10672843,150 SULLIVAN Drive,Kootenay,KI - Kimberley,49.69825590,-115.99463098,point_geocode,data\aerial\cranbrook_kimberley\150-sullivan-drive-10672843\esri_world_imagery_z19\z19_x93214_y178491.jpg,data\contact_sheets\cranbrook_kimberley\150-sullivan-drive-10672843\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,39,research_only_verify_license,"Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Coordinate fallback applied: 150 Sullivan Dr, Kimberley, British Columbia, V1A 0A7 (arcgis_world_geocoder_manual_variant); recollected ArcGIS z19 tiles. Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.",9,0
141,blocked_no_aerial_imagery,Cranbrook/Kimberley,10552417,153 STEMWINDER Drive,Kootenay,KI - Kimberley,49.6883,-116.000057,listing,data\aerial\cranbrook_kimberley\153-stemwinder-drive-10552417\esri_world_imagery_z19\z19_x93206_y178513.jpg,data\contact_sheets\cranbrook_kimberley\153-stemwinder-drive-10552417\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,7,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
142,blocked_no_aerial_imagery,Cranbrook/Kimberley,10669905,1609 8TH S Avenue,Kootenay,CRAN - Cranbrook South,49.49356895,-115.7711047,listing,data\aerial\cranbrook_kimberley\1609-8th-s-avenue-10669905\esri_world_imagery_z19\z19_x93540_y178950.jpg,data\contact_sheets\cranbrook_kimberley\1609-8th-s-avenue-10669905\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,64,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
143,blocked_no_aerial_imagery,Cranbrook/Kimberley,10684522,1611 1ST S Avenue,Kootenay,CRAN - Cranbrook South,49.49332042,-115.78241832,listing,data\aerial\cranbrook_kimberley\1611-1st-s-avenue-10684522\esri_world_imagery_z19\z19_x93523_y178951.jpg,data\contact_sheets\cranbrook_kimberley\1611-1st-s-avenue-10684522\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,21,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.,9,0
